Date,Price,Open,High,Low,Vol.,Change %
08/22/2019,864.56,863.13,865.67,862.84,27.37K,0.16%
08/21/2019,863.18,867.03,867.03,862.85,17.79K,-0.38%
08/20/2019,866.5,863.97,866.5,863.14,5.77K,0.22%
08/19/2019,864.63,864.02,865.29,862.96,13.36K,0.17%
08/16/2019,863.18,861.84,863.59,858.88,11.10K,0.03%
08/14/2019,862.89,862.17,864.4,859.68,13.58K,0.18%
08/13/2019,861.34,860.23,861.34,858.03,6.30K,0.19%
08/12/2019,859.7,857.01,860.89,855.79,5.95K,0.31%
08/09/2019,857.01,859.44,859.89,853.83,19.11K,-0.28%
08/08/2019,859.44,860.76,860.76,855.92,9.31K,-0.25%
08/07/2019,861.63,868.21,868.21,857.59,22.27K,-0.76%
08/06/2019,868.21,866.35,868.52,863.94,13.95K,0.19%
08/05/2019,866.55,870.99,870.99,864.03,15.10K,-0.51%
08/02/2019,870.99,871.52,874.12,870.42,13.34K,-0.06%
08/01/2019,871.52,870.59,872.33,868.39,27.84K,0.11%
07/31/2019,870.59,875.8,875.8,870.59,23.32K,-0.56%
07/30/2019,875.51,874.83,875.71,872.65,14.76K,0.14%
07/29/2019,874.3,873.95,874.62,870.9,12.90K,0.06%
07/26/2019,873.76,868.56,873.76,867.07,15.06K,0.54%
07/25/2019,869.06,870.76,871.09,867.35,20.22K,-0.20%
07/24/2019,870.76,869.81,872.43,867.91,21.63K,0.26%
07/23/2019,868.5,872.59,875.16,868.5,10.62K,-0.18%
07/22/2019,870.09,870.65,876.29,869.98,12.23K,-0.35%
07/19/2019,873.15,869.2,873.15,868.2,16.28K,0.45%
07/18/2019,869.2,866.1,869.2,865.44,8.20K,0.24%
07/17/2019,867.11,869.77,870.1,867.11,16.90K,-0.21%
07/16/2019,868.94,883.42,883.42,867.93,13.81K,-1.64%
07/15/2019,883.42,887.94,889.45,883.42,9.72K,-0.51%
07/12/2019,887.94,888.51,891.07,887.69,8.69K,-0.04%
07/11/2019,888.32,888.36,890.52,887.91,22.18K,0.06%
07/10/2019,887.83,890.49,890.49,884.18,14.19K,-0.30%
07/09/2019,890.49,889.5,890.49,884.1,4.66K,0.18%
07/08/2019,888.93,888.54,891.35,884.83,9.26K,-0.14%
07/05/2019,890.2,888.37,894.94,888.37,20.32K,-0.03%
07/04/2019,890.47,878.25,890.47,873.93,15.61K,1.09%
07/03/2019,880.89,880.62,883.47,875.22,14.96K,0.36%
07/02/2019,877.77,878.71,879.54,873.94,23.14K,-0.29%
07/01/2019,880.32,882.65,882.65,878.64,31.94K,-0.14%
06/28/2019,881.59,883.66,884.01,878.35,9.14K,-0.20%
06/27/2019,883.34,887.83,887.83,881.67,20.42K,-0.51%
06/26/2019,887.83,889.4,889.65,885.18,12.41K,-0.27%
06/24/2019,890.23,891.23,891.71,886.27,16.09K,-0.11%
06/21/2019,891.23,891.02,891.23,887.18,15.49K,0.22%
06/20/2019,889.23,884.04,891.12,882.53,52.85K,0.66%
06/19/2019,883.36,874.09,884.26,874.09,22.50K,1.08%
06/18/2019,873.95,873.33,876.06,870.14,14.84K,0.07%
06/17/2019,873.33,870.64,875.05,870.64,17.97K,0.18%
06/14/2019,871.72,870.12,872.13,866.34,18.02K,0.18%
06/13/2019,870.12,870.54,873.47,868.56,49.12K,-0.05%
06/12/2019,870.54,872.28,872.57,868.21,51.80K,-0.16%
06/11/2019,871.97,879.66,879.66,866.6,44.44K,-0.87%
06/10/2019,879.66,885.8,885.8,875.84,36.59K,-0.69%
06/07/2019,885.8,882.04,885.8,878.21,28.88K,0.43%
